Table 1
age,gender,country,daily_usage_hours,primary_platform,num_platforms_used,purpose,avg_session_minutes,night_usage,mental_health_score,addiction_level,screen_time_before_sleep
20,Female,Australia,4.215642054226260,Instagram,2,Socializing,12.686992356234700,1,5.015278200431010,Medium,4.577960183740620
17,Male,Canada,2.556707990380010,TikTok,3,News,25.86933250500780,0,7.8638271340555500,Medium,34.13198796629780
15,Male,USA,0.5,Instagram,3,Education,45.317311946193600,0,10.0,Low,42.712116232083800
24,Female,India,4.848467436453270,Instagram,2,Socializing,10.124125907383000,0,5.144573724242000,Medium,7.2795397323026800
20,Female,Brazil,2.1567187373719100,Instagram,2,Education,16.693567311401900,1,8.511052584351470,Low,52.983280942067200
18,Female,India,2.95135733761174,Snapchat,2,News,20.243498464195300,0,6.924446870714560,Medium,39.53479168989800
23,Female,India,3.514499629777740,YouTube,5,Entertainment,20.35159999916960,0,7.531944674037960,Medium,52.53855858961120
15,Female,USA,3.2243321513830500,Snapchat,2,Socializing,25.16704656478930,0,8.741917057721660,Medium,55.707597566412800
13,Male,USA,3.821218614172920,TikTok,5,Socializing,16.387846219269900,1,6.355526964025040,Medium,33.631725900243900
15,Male,USA,4.078791110042160,Instagram,4,Education,22.67878659676160,0,6.515556648635140,Medium,48.044556307241800
17,Other,USA,3.8786858351942100,Instagram,3,Entertainment,14.730121038509500,1,8.585640193155790,Medium,30.972515748299300
27,Female,UK,4.521048107149480,Instagram,5,Entertainment,24.58051372158110,0,7.273266654946870,Medium,27.437945850113200
26,Female,India,2.9357186642600200,YouTube,2,Entertainment,26.255370044388400,1,8.296473955722060,Medium,50.340532552317300
15,Female,India,4.590449935728430,TikTok,5,News,27.511480198914100,1,5.6182211498182300,Medium,45.207336360714300
13,Female,India,3.843918949331880,YouTube,2,Content Creation,20.48538667398530,0,7.904857352861490,Medium,82.615427758772
17,Male,Canada,3.6361576617309600,Snapchat,3,Entertainment,44.09281138960790,1,7.070406631845370,Medium,37.33171452016270
22,Male,UK,3.9646886080006300,TikTok,3,Entertainment,22.267664809313500,1,8.106711736501690,Medium,68.31267996950100
19,Male,India,3.483433238994900,Instagram,3,Education,21.381060141616500,0,6.032180865027350,Medium,67.76397315289730
27,Male,USA,2.524087018680140,Snapchat,2,Entertainment,22.874163591901400,1,7.986199454111420,Medium,43.190317866425700
26,Male,Canada,4.015872655481150,TikTok,1,Education,48.427737753798000,0,6.065514458322090,Medium,10.272572608317100
19,Female,Germany,1.6305315176057000,TikTok,3,Content Creation,33.473246799115200,1,8.784607195692780,Low,48.64052685604580
23,Female,USA,1.7164549090730700,YouTube,2,Entertainment,15.45171465932550,1,10.0,Low,48.121492203140600
21,Male,India,3.4473803897964300,TikTok,2,Entertainment,29.94225671913650,0,7.8684950997472600,Medium,27.07710795682450
27,Female,Canada,3.2571440689278100,Instagram,5,Socializing,37.506756523205200,0,7.839962658360060,Medium,8.22584345272595
27,Male,India,4.102246196679410,YouTube,3,Content Creation,13.464758372234100,1,7.317661971180190,Medium,12.536664413817900
22,Female,India,4.119131851279910,TikTok,3,Entertainment,23.197351543574000,1,6.434087766668150,Medium,37.436460508578700
22,Other,Canada,3.371316975511110,Instagram,5,Socializing,10.075161946024800,0,9.37155415195878,Medium,21.215394740456600
24,Female,India,5.192943141035810,Snapchat,3,Entertainment,26.79945946875940,1,6.363458312055980,High,35.41298438429910
25,Female,Brazil,2.669175097465560,Twitter,5,Education,32.668399802044500,0,7.130230900038250,Medium,22.817963415200000
15,Female,Canada,2.879284117609140,Instagram,2,Entertainment,5.0,1,8.261391070820490,Medium,30.136277225481200
27,Male,India,2.6423269770625500,Snapchat,2,Entertainment,13.93506230401510,0,7.721216518312230,Medium,53.45687008697240
19,Female,Germany,2.4676181007028900,Twitter,5,Education,39.4139396755278,1,8.745299292463640,Low,67.17837911905060
13,Male,India,4.74470276985471,TikTok,1,Socializing,38.775221796151400,1,5.419007379935540,Medium,50.854461441103200
16,Male,Brazil,0.7799261470812180,Twitter,4,Socializing,17.56792223412400,1,10.0,Low,64.12602664241640
25,Female,Brazil,0.8529318424340140,Instagram,4,News,31.872086469977000,1,9.41437127084272,Low,56.87753107312880
16,Male,India,3.5878093984449900,Instagram,3,Socializing,7.708415174784840,0,7.645064513432300,Medium,29.229175172283200
26,Male,India,6.104110889847460,TikTok,4,Education,13.012912583023100,1,6.384736142047090,High,30.030522270501300
17,Male,UK,5.429084521199180,YouTube,3,Socializing,22.542556887399400,1,6.091202712007200,High,48.144020936029700
19,Male,India,3.219160176354270,Instagram,2,Entertainment,21.854020315698800,1,7.772649953472530,Medium,56.59691025435800
19,Female,India,4.585083886911130,Snapchat,2,Entertainment,22.700026660354000,0,5.288404075467800,Medium,60.92253725722120
25,Male,Brazil,3.9232218959784900,Instagram,1,Entertainment,36.429307543151600,1,6.551108969834750,Medium,40.17208755955570
27,Male,India,3.5231980132686800,TikTok,1,Education,39.776121610449900,0,7.0150917232972000,Medium,22.825458217363200
23,Female,Brazil,5.516374080187030,YouTube,4,News,34.81111312631190,1,6.289225277769270,High,65.57529412253580
25,Male,India,4.428497544853890,YouTube,2,News,32.73364433785650,0,7.772180345604350,Medium,40.46341689140590
16,Male,UK,3.0476796116828100,TikTok,2,Entertainment,41.18662282354480,1,7.22054097424563,Medium,39.75625905794380
25,Other,UK,4.04041235146075,TikTok,2,Socializing,31.180255515705100,1,5.458755885081290,Medium,40.025264720586500
19,Male,Germany,3.8921942357003800,Instagram,3,Socializing,39.739851920582000,0,6.614713571962570,Medium,0.0
23,Male,Germany,4.782184359691030,YouTube,1,Entertainment,15.102567309762000,0,5.448483111972950,Medium,41.45395856633790
15,Male,India,4.943211554853590,Snapchat,2,Entertainment,9.385672578261340,0,6.277082249081360,Medium,63.94339664226070
18,Male,UK,3.5377204077058800,TikTok,3,Entertainment,14.213924805791400,1,7.974208367422210,Medium,29.58139756770310
24,Male,Germany,3.3369608919452800,Twitter,2,Education,22.926342489058200,1,7.663883589401200,Medium,47.759142012903400
14,Male,UK,3.688394374515170,TikTok,5,Entertainment,25.059193222069900,0,6.013571386176310,Medium,10.732219941994000
22,Male,UK,0.8970922542356020,YouTube,1,Socializing,5.0,1,9.53314784737615,Low,46.83987148589210
25,Male,UK,0.9911912244060200,TikTok,5,Entertainment,15.638958203718200,1,9.756206989073170,Low,30.84034578291200
26,Female,India,3.870328812581870,YouTube,5,Entertainment,53.77411708234490,1,6.826430732784470,Medium,43.03289345315590
21,Male,India,3.7613177291599000,Snapchat,2,Socializing,26.473137708096,1,6.379139806293870,Medium,35.71545729475690
17,Female,USA,4.6324573824842700,TikTok,3,Entertainment,22.57147507326390,0,6.860935833403250,Medium,16.501746141079200
18,Male,Australia,2.4442358889920800,TikTok,5,Entertainment,26.12863682252600,0,7.994497394071980,Low,32.041194247971000
24,Male,India,6.14208229820011,Snapchat,1,Socializing,13.641589110853000,1,3.719144028998790,High,35.833417335222300
24,Female,India,2.8708225530819600,TikTok,1,Entertainment,13.12774285173310,1,6.703690653527520,Medium,63.32322084847000
24,Male,Brazil,2.0608260598748100,TikTok,3,Education,15.47179772817080,0,9.97755631952665,Low,54.86208850231560
24,Female,USA,0.5,YouTube,1,Entertainment,24.68299421021890,0,9.372098616532960,Low,57.92669194675870
16,Male,Brazil,2.505662795755730,YouTube,1,Entertainment,26.595461873023500,1,8.405899608585840,Medium,24.714431654948400
26,Male,UK,1.6035032216675600,YouTube,4,Entertainment,18.936287911268800,1,9.1130774445226,Low,44.73497105554220
26,Female,India,4.299867471293610,TikTok,5,Socializing,21.686647976041500,1,6.924077435776320,Medium,31.90233157575440
23,Male,Brazil,5.032667446792770,Instagram,5,Entertainment,34.6388211811769,1,7.451015986056470,High,63.159549583605500
22,Male,Brazil,4.939858822151960,Snapchat,2,Socializing,10.53774896154280,1,6.833462033481050,Medium,20.40971927829920
19,Female,Canada,3.0382894010274200,Twitter,1,Entertainment,19.759537548822700,0,5.654589167421880,Medium,41.21618790220970
24,Female,India,4.014112742501690,YouTube,3,Entertainment,35.96745359539200,0,7.743545514002030,Medium,49.22475673157600
21,Male,Brazil,3.6691661105713000,Instagram,3,News,21.081498114790900,1,6.243621469475540,Medium,33.88040194898490
19,Female,Canada,4.781702335047180,TikTok,2,Entertainment,33.09119298287630,1,6.135078360195700,Medium,20.25411565549780
26,Male,UK,3.838593141894110,TikTok,5,Socializing,29.10561947844390,1,6.739118544027890,Medium,26.780432912353300
13,Male,USA,1.495471324192700,TikTok,3,Socializing,37.1823262487323,1,9.225233029728780,Low,54.82546578458840
13,Female,USA,3.569294294551630,YouTube,1,Entertainment,14.744893713449100,1,8.52542171852906,Medium,30.929212318075600
21,Male,UK,3.6895260392214000,TikTok,3,Socializing,30.663725350863000,1,7.2721848020907000,Medium,21.7824981416908
23,Female,Brazil,1.7003415835844200,TikTok,3,Entertainment,25.440633630024000,0,7.439846574435050,Low,37.32145759302190
